month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202604,11180,"Ames, IA",331.0,319675.0,0.0273,-0.0866,270,0.1159,0.3114,52.0,-0.0756,0.2093,140.0,-0.125,0.1111,0.0,-1.0,-1.0,0.0,-0.0064,-0.0032,100.0,0.1364,0.3158,0.1664,0.0139,0.0303,222.0,0.0726,-0.0285,210.0,0.0283,-0.068,1596.0,0.0143,0.0213,370295.0,0.0399,-0.0933,491.0,0.0973,0.1211,0.8219,-0.0332,-0.2876,0
202604,13460,"Bend, OR",192.0,699000.0,-0.0002,-0.0291,2254,0.1093,0.3694,50.0,-0.0243,-0.0429,650.0,-0.0525,-0.0469,18.0,0.125,-0.1,0.0049,0.0002,-0.0018,580.0,0.3303,-0.0301,0.152,0.0223,-0.0476,796.0,0.0656,0.2627,375.0,-0.0021,-0.0454,1941.0,-0.0042,-0.0113,975890.0,0.0013,-0.0335,3040.0,0.0949,0.3395,0.3529,-0.0144,-0.0298,0
202604,47080,"Vidalia, GA",781.0,273750.0,-0.0036,-0.0519,102,0.041,1.0928,81.0,-0.0471,0.3012,28.0,0.0769,0.4,0.0,,,0.0,0.0,0.0,34.0,0.1333,1.125,0.2421,0.0354,0.0801,25.0,0.0426,0.0,132.0,-0.007,-0.044,2174.0,-0.0311,0.0542,348330.0,0.0037,0.0376,126.0,0.037,0.7622,0.2414,0.0004,-0.2638,0
202604,25940,"Hilton Head Island-Bluffton-Port Royal, SC",196.0,547481.0,-0.0147,-0.0548,2231,0.0489,0.1015,69.0,-0.0709,0.1957,786.0,0.0208,-0.0415,22.0,-0.0833,0.5714,0.0056,-0.0007,0.0013,752.0,0.0805,0.0,0.1956,0.0095,-0.033,901.0,0.044,1.1896,319.0,-0.0137,-0.0392,1832.0,-0.0033,-0.0582,929039.0,-0.0018,-0.0143,3124.0,0.0503,0.2835,0.4039,-0.0019,0.2007,0
202604,42940,"Sevierville, TN",396.0,625000.0,0.0123,-0.0702,1977,0.0836,0.1101,68.0,-0.0625,0.0075,488.0,-0.1095,-0.0121,6.0,-0.75,-0.5714,0.0022,-0.007,-0.003,890.0,0.1558,0.206,0.3189,0.0215,0.046,304.0,0.0705,-0.2024,358.0,-0.0044,-0.0527,1886.0,0.0075,-0.0177,800821.0,0.0108,-0.0671,2274.0,0.0816,0.0535,0.1535,-0.0019,-0.0601,0
202604,34900,"Napa, CA",349.0,1395000.0,0.0793,-0.0681,480,0.2,0.0127,40.0,-0.1209,-0.171,186.0,-0.051,0.0109,2.0,-0.6667,,0.0026,-0.0065,0.0026,102.0,0.275,-0.1053,0.1391,0.0265,-0.0233,97.0,0.0321,0.2532,661.0,-0.0008,-0.0965,2116.0,0.0507,0.032,2529506.0,0.0851,-0.0786,576.0,0.1685,0.0589,0.201,-0.0327,0.0386,0
202604,49620,"York-Hanover, PA",118.0,366450.0,0.025,-0.016,655,0.0872,0.0738,30.0,-0.1667,0.0345,624.0,0.2046,0.1429,52.0,0.2381,0.7333,0.0254,0.0012,0.0087,244.0,0.1731,0.2842,0.1187,-0.0024,0.0203,726.0,0.1636,0.0104,179.0,0.0031,-0.0087,2010.0,0.0152,0.0106,410382.0,0.0159,-0.0536,1386.0,0.126,0.0406,1.1085,0.0728,-0.0695,0
202604,34300,"Mountain Home, ID",840.0,414998.0,0.0285,0.1202,119,-0.0325,0.3837,51.0,0.0968,0.2289,52.0,-0.2353,-0.1034,4.0,-0.3333,0.0,0.0171,-0.0064,-0.0018,52.0,0.625,1.3636,0.2048,0.0829,0.0987,73.0,0.4078,0.1508,240.0,-0.0015,0.0081,1869.0,0.0238,0.0386,552630.0,-0.0022,0.1524,192.0,0.1003,0.28,0.6092,0.1905,-0.1233,0
202604,38300,"Pittsburgh, PA",24.0,248625.0,0.0362,0.0201,4655,0.0558,0.0968,50.0,-0.2248,0.0753,3062.0,0.2727,0.1054,28.0,-0.2222,-0.4167,0.0025,-0.0012,-0.0022,1626.0,0.1419,-0.0193,0.146,0.0023,-0.0111,3538.0,0.1752,-0.0045,171.0,0.0193,0.0271,1572.0,0.0087,-0.0013,366702.0,0.026,-0.003,8188.0,0.1058,0.0542,0.7599,0.0772,-0.0774,0
202604,32860,"Menomonie, WI",655.0,362475.0,0.0042,-0.0176,41,0.0649,-0.2264,44.0,-0.2489,0.1076,38.0,0.7273,-0.3214,0.0,-1.0,,0.0,-0.0196,0.0,16.0,0.1429,-0.2727,0.1182,-0.0292,-0.0244,44.0,0.1,0.0476,187.0,0.0498,0.0091,2015.0,0.0337,-0.0714,415596.0,0.0011,-0.0787,84.0,0.0987,-0.1117,1.0732,0.0342,0.2807,0
202604,32140,"Marshall, MN",860.0,254225.0,0.2329,0.0704,34,0.3878,0.2593,68.0,-0.5559,0.5169,36.0,0.6364,0.6364,0.0,,,0.0,0.0,0.0,6.0,0.5,2.0,0.0695,0.0157,0.0442,33.0,0.1207,0.4444,122.0,0.0142,0.058,2020.0,0.0735,0.0708,347469.0,0.0253,0.3158,67.0,0.2667,0.3434,0.9559,-0.2278,0.1225,0
202604,17640,"Coco, PR",,270000.0,1.4161,0.08,6,-0.4545,1.0,36.0,-0.574,-0.027,0.0,-1.0,,0.0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1176,0.0,10.0,0.1111,4.0,184.0,0.1167,0.8426,1700.0,0.7298,0.0595,395730.0,0.6904,1.0839,16.0,-0.1351,2.2,1.6667,0.8485,1.0,0
202604,11060,"Altus, OK",865.0,232950.0,0.0133,0.1805,87,-0.0749,-0.1128,66.0,-0.0365,-0.0222,38.0,0.1875,0.3571,0.0,,,0.0,0.0,0.0,28.0,0.1667,0.0,0.1578,0.0132,-0.0161,52.0,0.3377,0.1075,121.0,-0.0261,0.1005,1908.0,-0.018,0.1109,254313.0,0.0306,0.2026,138.0,0.0618,-0.0351,0.5954,0.1836,0.1185,0
